team,elo,matches,points_avg_5,gf_avg_5,ga_avg_5,gd_avg_5,last_date
Sweden,1768.044,1105,1.0,1.8,2.4,-0.6,2026-06-30
DR Congo,1766.418,528,0.8,1.2,1.4,-0.2,2026-07-01
Hungary,1764.535,1006,2.0,1.6,1.0,0.6,2026-06-09
Greece,1759.305,633,0.6,0.4,0.8,-0.4,2026-06-07
Republic of Ireland,1757.51,633,1.8,1.8,0.6,1.2,2026-06-05
Poland,1755.01,892,1.4,1.8,2.0,-0.2,2026-06-03
Serbia,1751.894,348,1.2,1.0,2.6,-1.6,2026-06-04
Czechoslovakia,1749.468,520,2.2,2.6,0.8,1.8,1993-11-17
German DR,1733.308,298,2.6,2.2,1.0,1.2,1990-09-12
Czech Republic,1731.347,363,1.4,1.8,1.6,0.2,2026-06-24
Slovenia,1728.33,317,1.0,1.2,1.4,-0.2,2026-06-07
Uzbekistan,1724.854,357,0.0,0.6,3.0,-2.4,2026-06-27
Panama,1718.734,542,0.8,1.0,1.4,-0.4,2026-06-27
Peru,1716.671,714,0.8,1.2,2.0,-0.8,2026-06-08
Slovakia,1702.476,367,1.4,1.8,2.6,-0.8,2026-06-05
Wales,1701.648,726,1.2,2.2,1.2,1.0,2026-06-06
Bolivia,1697.43,534,1.2,1.2,2.2,-1.0,2026-06-10
Iraq,1697.152,658,0.2,0.4,3.0,-2.6,2026-06-26
Saudi Arabia,1691.049,744,1.2,0.8,1.0,-0.2,2026-06-26
Cameroon,1690.491,616,1.8,1.2,1.0,0.2,2026-03-31
Israel,1688.018,498,1.6,1.4,1.2,0.2,2026-06-03
Cape Verde,1687.776,239,0.6,0.8,1.6,-0.8,2026-07-03
Costa Rica,1687.069,724,0.4,0.6,2.6,-2.0,2026-06-10
Catalonia,1686.404,48,1.6,2.0,1.4,0.6,2019-03-25
Jordan,1685.704,488,0.0,0.8,2.8,-2.0,2026-06-27
Guernsey,1685.497,240,1.8,1.4,0.8,0.6,2023-07-13
Bosnia and Herzegovina,1675.896,287,1.0,1.2,1.8,-0.6,2026-07-01
Isle of Man,1673.87,58,2.4,4.6,1.4,3.2,2025-07-18
Ynys Môn,1672.081,67,2.4,2.2,1.4,0.8,2025-07-17
Romania,1667.77,766,1.4,2.0,1.2,0.8,2026-06-06
Honduras,1667.387,620,1.0,1.0,1.2,-0.2,2026-06-06
Mali,1665.101,569,0.6,0.2,0.8,-0.6,2026-06-04
South Africa,1662.657,484,1.4,0.6,0.8,-0.2,2026-06-28
Georgia,1661.506,307,1.6,1.6,1.0,0.6,2026-06-05
Burkina Faso,1652.865,464,1.0,1.6,1.8,-0.2,2026-06-09
Tunisia,1652.682,681,0.0,0.4,3.6,-3.2,2026-06-25
Northern Cyprus,1651.277,34,2.2,3.2,1.0,2.2,2018-06-09
Occitania,1649.527,33,2.2,1.8,0.6,1.2,2014-12-30
Ghana,1647.915,675,1.0,0.6,0.8,-0.2,2026-07-03
North Macedonia,1644.567,306,0.4,0.2,3.0,-2.8,2026-06-01
New Zealand,1644.192,419,0.2,0.8,3.0,-2.2,2026-06-26
Northern Ireland,1642.347,707,1.4,0.8,1.2,-0.4,2026-06-08
Isle of Wight,1640.455,48,1.8,1.6,1.2,0.4,2023-07-13
Albania,1640.132,398,0.0,0.2,1.4,-1.2,2026-06-06
United Arab Emirates,1638.485,612,1.0,1.2,1.6,-0.4,2025-12-15
Padania,1633.262,45,1.4,2.0,1.0,1.0,2019-06-08
Haiti,1630.426,513,0.6,1.4,2.0,-0.6,2026-06-24
Iceland,1624.487,522,0.4,0.6,2.2,-1.6,2026-06-09
Jamaica,1623.739,663,1.2,0.6,1.0,-0.4,2026-06-06
Guatemala,1617.895,554,0.6,1.2,3.8,-2.6,2026-06-07
Andalusia,1617.697,13,2.6,2.2,0.6,1.6,2013-06-07
Iraqi Kurdistan,1611.446,27,1.8,1.8,0.6,1.2,2016-06-04
Belarus,1608.737,315,2.2,1.8,0.8,1.0,2026-06-09
Abkhazia,1606.625,33,1.8,1.2,0.6,0.6,2019-06-08
County of Nice,1596.451,9,2.0,2.2,1.6,0.6,2015-06-21
Kernow,1594.613,12,2.6,3.0,1.0,2.0,2023-07-16
Kárpátalja,1591.724,11,2.6,2.8,0.8,2.0,2018-06-09
Rhodes,1587.479,18,1.8,1.8,0.8,1.0,2011-06-27
Curaçao,1580.233,388,0.8,1.2,2.6,-1.4,2026-06-25
Suriname,1578.845,399,1.0,1.6,1.4,0.2,2026-03-26
Palestine,1576.346,249,0.8,0.6,0.8,-0.2,2026-06-09
Tamil Eelam,1574.737,28,3.0,3.4,0.6,2.8,2025-07-04
Oman,1572.767,543,1.0,0.6,1.2,-0.6,2026-06-05
Syria,1572.236,484,1.0,0.6,1.2,-0.6,2026-06-05
Finland,1570.222,818,1.4,1.6,1.4,0.2,2026-06-05
Corsica,1569.637,9,1.8,1.0,0.6,0.4,2017-05-26
Kurdistan,1564.044,5,2.6,2.4,0.4,2.0,2013-06-28
Ellan Vannin,1563.45,22,2.0,1.8,1.0,0.8,2018-06-03
Angola,1556.743,415,1.2,1.2,0.8,0.4,2026-06-09
Yorkshire,1553.753,7,2.4,4.0,2.0,2.0,2019-06-01
Benin,1552.341,325,1.4,1.0,1.8,-0.8,2026-06-09
Arameans Suryoye,1550.859,10,2.0,1.8,1.2,0.6,2014-06-08
Qatar,1549.7,638,0.4,0.4,2.2,-1.8,2026-06-24
Galicia,1548.747,12,1.4,1.4,2.6,-1.2,2024-05-21
Réunion,1547.663,124,1.2,0.8,0.8,0.0,2023-09-02
Zanzibar,1546.661,209,2.0,1.2,0.8,0.4,2025-01-13
Panjab,1545.706,19,1.4,3.6,2.0,1.6,2019-12-29
Artsakh,1544.802,11,2.0,1.8,1.6,0.2,2019-06-08
Bulgaria,1544.239,736,2.0,3.0,1.2,1.8,2026-06-05
China,1543.081,702,1.6,1.2,1.0,0.2,2026-06-09
Libya,1542.948,384,1.4,0.6,0.4,0.2,2026-03-31
Guinea,1540.763,539,1.0,1.0,1.0,0.0,2026-06-04
New Caledonia,1539.01,265,1.4,1.2,1.0,0.2,2026-03-26
Maule Sur,1538.61,2,3.0,1.0,0.0,1.0,2022-06-19
Montenegro,1538.208,170,1.4,1.8,1.6,0.2,2026-06-05
Cascadia,1536.449,7,2.0,4.0,1.8,2.2,2019-05-25
Gambia,1526.726,266,0.8,2.8,2.4,0.4,2026-05-29
Chameria,1526.68,7,1.6,1.8,0.8,1.0,2023-07-01
Menorca,1526.107,25,0.6,1.2,1.6,-0.4,2023-07-13
Gabon,1524.034,405,0.2,1.4,2.4,-1.0,2026-03-30
Zambia,1523.444,793,0.4,0.6,2.4,-1.8,2026-03-31
Biafra,1522.916,3,2.0,0.6667,0.3333,0.3333,2022-05-25
Uganda,1522.837,685,0.8,1.0,2.4,-1.4,2025-12-30
Asturias,1521.021,1,3.0,3.0,1.0,2.0,1923-02-25
Kazakhstan,1520.219,269,1.4,1.0,1.0,0.0,2026-06-09
Brittany,1519.069,12,1.8,1.2,1.0,0.2,2013-05-28
Canary Islands,1518.65,4,2.25,2.75,0.75,2.0,2007-12-29
Crimea,1518.469,5,1.8,1.4,2.2,-0.8,2006-11-25
Trinidad and Tobago,1517.307,753,0.2,0.6,3.4,-2.8,2026-06-09
Elba Island,1517.237,2,3.0,4.5,1.0,3.5,2022-07-16
Surrey,1516.939,1,3.0,3.0,1.0,2.0,2018-05-06
Madagascar,1516.016,320,1.4,1.8,2.2,-0.4,2026-06-02
Donetsk PR,1514.528,6,1.6,1.6,1.2,0.4,2017-08-31
Quebec,1513.984,3,2.0,8.0,0.6667,7.3333,2013-06-27
Felvidék,1513.722,12,1.8,1.0,0.8,0.2,2017-06-09
Thailand,1513.09,865,2.2,3.0,1.0,2.0,2026-06-09
Parishes of Jersey,1511.015,3,2.0,3.6667,1.3333,2.3333,2019-06-02
Niger,1506.584,260,0.6,0.4,0.8,-0.4,2026-06-08
Malaysia,1505.878,835,3.0,2.4,0.4,2.0,2025-11-18
Guadeloupe,1503.153,271,1.2,1.4,2.0,-0.6,2025-06-24
Franconia,1502.232,3,2.0,2.6667,3.6667,-1.0,2019-06-25
Indonesia,1501.607,728,1.8,1.6,0.4,1.2,2026-06-09
Bahrain,1501.24,584,1.2,1.2,2.0,-0.8,2026-06-05
Mapuche,1501.214,2,1.5,1.5,1.0,0.5,2022-06-18
Central Spain,1501.107,2,1.5,1.0,2.0,-1.0,1923-11-25
Matabeleland,1498.936,8,1.6,0.6,0.4,0.2,2022-05-25
Silesia,1497.937,8,1.6,3.6,2.0,1.6,2006-12-09
Togo,1495.984,447,1.8,1.8,0.8,1.0,2026-06-09
Saugeais,1494.486,1,1.0,1.0,1.0,0.0,2013-06-29
Sealand,1494.319,12,2.2,3.2,1.6,1.6,2014-08-10
Délvidék,1493.626,2,1.5,2.0,1.5,0.5,2016-08-03
Luhansk PR,1491.484,6,1.4,1.8,2.2,-0.4,2019-12-08
Nicaragua,1490.35,222,0.8,0.6,1.8,-1.2,2026-06-05
Mozambique,1490.067,375,0.6,0.8,2.0,-1.2,2026-06-09
United Koreans in Japan,1489.6,12,1.2,1.4,0.8,0.6,2018-06-09
South Ossetia,1489.382,17,1.6,1.6,1.2,0.4,2019-12-08
Comoros,1488.526,151,1.2,0.2,0.2,0.0,2026-06-09
Cilento,1487.535,1,0.0,0.0,2.0,-2.0,2011-12-29
Vietnam,1487.521,297,2.4,1.8,1.0,0.8,2026-03-26
Western Armenia,1486.117,16,1.0,1.6,1.0,0.6,2019-06-09
Monaco,1485.785,24,1.4,1.0,3.2,-2.2,2017-04-29
Sudan,1485.25,469,0.6,0.6,2.2,-1.6,2026-01-03
Madrid,1485.193,1,0.0,1.0,2.0,-1.0,2013-06-07
Shetland,1485.047,58,1.6,2.6,1.4,1.2,2025-07-17
Faroe Islands,1484.867,287,1.8,1.0,1.0,0.0,2026-06-09
Somaliland,1483.582,6,1.2,2.4,3.6,-1.2,2019-05-04
Ryūkyū,1483.183,1,0.0,0.0,9.0,-9.0,2016-11-26
Kuwait,1482.468,684,1.0,1.4,1.8,-0.4,2026-06-05
Tahiti,1482.422,242,1.8,1.4,1.4,0.0,2025-03-21
North Korea,1481.589,390,0.4,1.0,2.6,-1.6,2025-06-10
Seborga,1479.224,1,0.0,2.0,3.0,-1.0,2014-08-10
Guyana,1478.447,313,3.0,2.8,0.6,2.2,2026-03-30
Yoruba Nation,1478.241,2,0.5,0.5,1.0,-0.5,2022-05-23
West Papua,1477.891,2,0.5,1.5,4.5,-3.0,2022-11-13
El Salvador,1475.991,614,1.0,0.6,1.2,-0.6,2026-06-06
Åland Islands,1472.57,51,0.8,0.8,1.8,-1.0,2023-07-13
Kenya,1472.457,706,1.0,1.0,2.6,-1.6,2026-06-04
Chechnya,1472.24,3,0.3333,1.0,9.6667,-8.6667,2006-02-18
Hmong,1471.704,3,1.0,2.0,3.3333,-1.3333,2023-08-08
Niue,1469.716,2,0.0,0.0,16.5,-16.5,1983-08-22
Sierra Leone,1469.021,301,1.4,1.0,1.2,-0.2,2026-06-09
South Yemen,1468.837,3,0.0,0.3333,2.6667,-2.3333,1982-11-25
North Vietnam,1467.662,24,1.4,1.8,1.6,0.2,1970-09-20
Székely Land,1467.65,27,1.4,3.0,1.8,1.2,2023-07-02
Gozo,1466.713,14,1.0,0.8,1.2,-0.4,2025-07-17
Romani people,1466.689,7,0.6,1.6,2.8,-1.2,2016-05-16
Mauritania,1465.499,273,0.8,0.6,1.2,-0.6,2026-06-08
East Turkestan,1465.086,5,1.2,3.0,3.2,-0.2,2025-07-04
Kyrgyzstan,1464.672,191,0.6,0.6,1.4,-0.8,2026-06-09
Kabylia,1463.864,6,1.0,1.6,1.4,0.2,2018-06-09
Greenland,1463.167,77,0.8,1.0,3.6,-2.6,2024-06-01
Luxembourg,1462.505,467,0.6,0.2,1.2,-1.0,2026-06-06
Aymara,1460.176,2,0.0,0.5,2.0,-1.5,2022-06-19
Republic of St. Pauli,1459.024,4,1.0,2.5,1.25,1.25,2006-06-03
Rwanda,1453.336,280,1.8,1.4,0.8,0.6,2026-03-30
Zimbabwe,1452.933,496,1.4,1.4,1.2,0.2,2026-05-30
Ticino,1451.815,2,0.0,1.0,6.5,-5.5,2023-08-06
Sápmi,1450.836,29,0.6,0.8,2.6,-1.8,2023-07-16
Western Isles,1450.834,34,1.4,1.4,1.2,0.2,2025-07-17
Palau,1450.634,2,0.0,2.0,10.5,-8.5,1998-08-01
Estonia,1450.245,550,2.0,1.4,1.0,0.4,2026-06-09
Dominican Republic,1448.423,159,1.2,1.4,1.4,0.0,2026-06-03
Manchukuo,1447.307,3,0.0,0.0,5.3333,-5.3333,1942-08-09
Papua New Guinea,1445.707,155,2.6,2.0,1.0,1.0,2025-11-23
Armenia,1445.117,272,0.4,0.8,2.8,-2.0,2026-06-09
Martinique,1444.644,331,0.4,0.4,1.2,-0.8,2026-03-29
Găgăuzia,1443.211,3,0.3333,0.6667,3.0,-2.3333,2006-11-21
Lebanon,1442.972,333,2.0,2.0,0.4,1.6,2025-11-26
Saarland,1440.911,9,0.2,1.2,3.6,-2.4,1956-06-06
Western Sahara,1439.835,9,1.2,2.2,4.4,-2.2,2013-06-28
Provence,1434.2,23,1.2,6.2,2.4,3.8,2013-06-28
Two Sicilies,1433.063,6,0.6,0.4,2.8,-2.4,2023-07-02
Vanuatu,1432.46,214,2.0,1.8,1.2,0.6,2026-06-06
Tajikistan,1431.422,201,2.6,2.8,0.4,2.4,2026-06-09
Equatorial Guinea,1431.417,179,0.8,0.6,1.2,-0.6,2026-06-09
Mayotte,1431.308,38,1.6,1.2,0.6,0.6,2023-08-26
Liberia,1430.719,302,0.8,1.0,1.4,-0.4,2026-06-09
Lesotho,1428.681,296,1.0,0.6,0.8,-0.2,2026-06-04
Marshall Islands,1423.501,2,0.0,1.0,3.5,-2.5,2025-08-16
Sark,1421.389,4,0.0,0.0,17.5,-17.5,2003-07-03
Cyprus,1419.434,426,1.4,1.6,1.6,0.0,2026-06-07
Orkney,1417.873,28,1.8,2.0,1.6,0.4,2025-07-17
Namibia,1414.006,279,0.2,0.0,2.0,-2.0,2026-03-28
Vatican City,1412.505,8,0.4,0.8,2.0,-1.2,2022-04-22
Azerbaijan,1411.401,310,1.4,2.0,1.6,0.4,2026-06-09
Ethiopia,1410.95,409,1.4,0.8,1.2,-0.4,2026-06-09
Botswana,1410.148,332,0.6,0.2,2.0,-1.8,2026-03-31
Raetia,1409.731,26,1.6,3.4,2.2,1.2,2023-08-06
Malawi,1408.505,644,1.0,0.4,0.6,-0.2,2026-06-09
Malta,1408.376,458,1.2,1.4,1.8,-0.4,2026-06-05
Ambazonia,1408.304,6,0.0,0.2,3.0,-2.8,2007-06-07
Fiji,1405.039,268,0.0,0.2,3.4,-3.2,2026-06-06
Gotland,1401.75,30,1.2,3.8,1.6,2.2,2017-06-29
Cuba,1401.585,397,1.6,1.6,1.0,0.6,2026-03-29
Saint Barthélemy,1400.316,10,1.4,3.0,2.4,0.6,2023-03-10
Micronesia,1393.26,7,0.6,1.4,10.4,-9.0,2003-07-07
Tanzania,1392.45,599,1.0,1.6,0.8,0.8,2026-03-29
Barawa,1390.144,12,0.6,0.4,5.0,-4.6,2019-05-25
Chagos Islands,1389.321,16,0.0,1.2,6.2,-5.0,2019-12-29
Western Australia,1388.706,32,1.0,1.4,1.6,-0.2,1980-11-25
Yemen DPR,1387.041,25,0.8,0.8,2.2,-1.4,1989-11-05
French Guiana,1384.343,179,0.4,1.4,2.0,-0.6,2024-11-19
Burundi,1381.272,218,0.0,0.0,2.2,-2.2,2026-05-26
Turkmenistan,1380.96,175,2.4,2.0,1.0,1.0,2025-11-18
Darfur,1378.281,7,0.0,0.2,13.2,-13.0,2014-06-07
Puerto Rico,1376.52,163,1.8,1.6,2.0,-0.4,2026-06-05
Central African Republic,1374.593,138,0.8,0.8,2.6,-1.8,2026-06-09
Hitra,1373.803,23,1.2,2.8,2.6,0.2,2025-07-17
Saint Helena,1368.508,8,0.0,0.6,3.8,-3.2,2023-07-13
Saint Pierre and Miquelon,1366.441,7,0.0,0.4,12.0,-11.6,2012-09-28
Bermuda,1364.076,198,0.8,1.0,3.0,-2.0,2026-06-06
Saint Vincent and the Grenadines,1363.32,236,1.8,1.6,1.6,0.0,2026-03-29
Moldova,1360.76,299,0.4,1.2,2.4,-1.2,2026-06-09
Vietnam Republic,1358.643,195,0.0,0.2,2.4,-2.2,1975-03-23
Philippines,1356.485,342,3.0,3.8,0.8,3.0,2026-06-09
Latvia,1355.097,461,0.4,0.4,1.8,-1.4,2026-06-09
Saare County,1353.95,35,1.6,2.4,2.0,0.4,2017-06-29
Guinea-Bissau,1351.447,190,0.8,0.6,1.6,-1.0,2026-03-31
Lithuania,1347.941,433,0.8,0.6,1.6,-1.0,2026-06-09
Solomon Islands,1346.458,214,0.0,1.2,4.0,-2.8,2026-03-30
Sint Maarten,1335.563,60,2.2,1.4,0.8,0.6,2026-03-30
Kiribati,1330.785,11,0.0,0.4,12.8,-12.4,2011-09-05
Congo,1328.802,406,0.2,0.8,1.8,-1.0,2025-10-14
Singapore,1326.181,696,1.8,2.2,1.4,0.8,2026-06-05
Eswatini,1325.747,274,0.4,1.0,2.6,-1.6,2025-10-13
Wallis Islands and Futuna,1323.3,24,0.6,1.4,7.4,-6.0,1995-08-20
Yemen,1321.388,266,2.2,4.4,1.0,3.4,2025-11-26
Grenada,1312.018,260,0.6,0.4,2.6,-2.2,2026-05-16
South Sudan,1308.264,78,0.4,0.2,2.2,-2.0,2025-11-25
Saint Martin,1302.295,68,1.8,1.8,1.0,0.8,2026-03-29
Hong Kong,1294.745,447,1.0,1.0,1.2,-0.2,2026-06-09
Tibet,1293.604,21,0.2,2.4,4.2,-1.8,2025-07-03
Belize,1288.543,121,1.2,2.0,2.0,0.0,2026-03-30
Saint Kitts and Nevis,1285.123,226,1.4,1.6,2.6,-1.0,2026-03-30
Montserrat,1280.638,66,0.6,0.4,1.4,-1.0,2025-06-10
Samoa,1270.004,71,1.2,1.0,3.2,-2.2,2024-11-18
Tuvalu,1268.6,39,1.2,1.6,4.2,-2.6,2023-11-30
Saint Lucia,1265.62,230,0.6,0.8,3.4,-2.6,2026-03-27
Falkland Islands,1262.096,33,0.2,0.6,3.2,-2.6,2023-07-13
Chad,1256.218,138,0.2,1.2,2.4,-1.2,2025-11-17
Frøya,1241.682,37,0.6,1.0,4.8,-3.8,2025-07-17
Mauritius,1238.993,325,0.4,0.8,2.0,-1.2,2025-10-13
Aruba,1227.452,152,2.0,2.2,1.2,1.0,2026-06-06
India,1223.57,534,0.2,0.4,1.6,-1.2,2026-06-09
São Tomé and Príncipe,1211.183,71,0.6,0.8,2.8,-2.0,2025-10-13
Eritrea,1208.068,71,0.0,0.4,2.0,-1.6,2019-09-10
Andorra,1188.333,229,0.8,0.4,1.2,-0.8,2026-06-07
Dominica,1186.619,215,0.2,0.6,2.4,-1.8,2026-03-30
Afghanistan,1186.284,147,1.0,0.4,1.0,-0.6,2026-06-10
Myanmar,1184.168,512,0.8,1.8,3.0,-1.2,2026-06-09
Bangladesh,1183.087,305,1.6,1.2,1.4,-0.2,2026-06-05
Cook Islands,1180.183,53,0.6,0.4,2.0,-1.6,2024-09-06
Gibraltar,1174.392,160,1.8,2.6,2.0,0.6,2026-06-06
Bonaire,1169.671,44,0.6,1.2,2.2,-1.0,2026-06-06
Barbados,1157.129,302,0.6,1.4,2.6,-1.2,2026-03-29
Nepal,1140.224,268,0.4,0.6,1.4,-0.8,2025-11-18
Pakistan,1139.303,251,2.0,1.6,1.2,0.4,2026-06-10
Antigua and Barbuda,1134.494,231,0.4,0.2,1.4,-1.2,2025-11-18
Alderney,1128.82,135,0.6,1.2,3.8,-2.6,2022-04-23
Somalia,1128.089,124,0.8,0.4,1.4,-1.0,2025-11-26
Djibouti,1121.614,111,0.0,0.2,2.8,-2.6,2025-11-26
Tonga,1115.027,68,1.2,2.2,2.0,0.2,2024-09-09
Cambodia,1108.205,295,1.4,1.8,1.0,0.8,2026-06-09
Cayman Islands,1101.16,120,1.4,1.6,1.8,-0.2,2026-06-06
Turks and Caicos Islands,1096.516,52,1.4,1.2,2.2,-1.0,2025-08-16
Taiwan,1092.573,245,0.0,0.6,4.0,-3.4,2025-11-18
British Virgin Islands,1091.694,123,2.0,2.6,1.0,1.6,2026-06-06
Sri Lanka,1080.75,251,0.8,0.6,2.0,-1.4,2025-11-18
Northern Mariana Islands,1064.916,30,1.4,1.8,2.4,-0.6,2024-04-07
American Samoa,1055.209,55,0.0,0.8,4.6,-3.8,2026-03-28
Liechtenstein,1053.313,259,0.6,0.4,3.0,-2.6,2026-06-07
United States Virgin Islands,1044.203,78,1.4,2.2,1.6,0.6,2026-03-28
Seychelles,1039.768,176,0.0,0.0,5.6,-5.6,2025-10-14
Mongolia,1027.633,103,0.6,0.4,2.6,-2.2,2026-06-05
Maldives,1025.125,233,0.0,0.0,2.2,-2.2,2026-06-01
Bahamas,1018.157,67,0.0,0.4,4.0,-3.6,2026-03-29
Laos,1009.344,224,0.6,0.6,3.2,-2.6,2025-11-19
Guam,1008.409,123,0.6,1.6,4.0,-2.4,2026-06-06
Anguilla,990.249,91,1.2,1.0,2.6,-1.6,2026-03-29
Brunei,981.414,137,0.6,0.4,3.2,-2.8,2025-11-18
San Marino,961.823,225,0.2,0.8,2.6,-1.8,2026-06-09
Timor-Leste,960.484,86,0.6,0.6,2.6,-2.0,2025-11-18
Bhutan,938.425,110,0.0,0.4,3.8,-3.4,2026-06-04
Macau,894.359,148,0.0,0.4,3.0,-2.6,2026-03-29
